@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3521,'2017/03/22 18:36:23:959',3,0.641317,1,1
3522,'2017/03/22 18:36:23:959',3,0.641317,1,1
3523,'2017/03/22 18:36:24:029',3,0.641317,1,1
3524,'2017/03/22 18:36:24:029',3,0.641317,1,1
3525,'2017/03/22 18:36:24:109',3,0.641317,1,1
3526,'2017/03/22 18:36:24:109',3,0.641317,1,1
3527,'2017/03/22 18:36:24:240',3,0.641317,1,1
3528,'2017/03/22 18:36:24:241',3,0.641317,1,1
3529,'2017/03/22 18:36:24:322',3,0.641317,1,1
3530,'2017/03/22 18:36:24:322',3,0.641317,1,1
3531,'2017/03/22 18:36:24:474',3,0.641317,1,1
3532,'2017/03/22 18:36:24:474',3,0.641317,1,1
3533,'2017/03/22 18:36:24:538',3,0.641317,1,1
3534,'2017/03/22 18:36:24:538',3,0.641317,1,1
3535,'2017/03/22 18:36:24:622',3,0.641317,1,1
3536,'2017/03/22 18:36:24:622',3,0.641317,1,1
3537,'2017/03/22 18:36:24:754',3,0.641317,1,1
3538,'2017/03/22 18:36:24:755',3,0.641317,1,1
3539,'2017/03/22 18:36:24:836',3,0.641317,1,1
3540,'2017/03/22 18:36:24:837',3,0.641317,1,1
3541,'2017/03/22 18:36:24:904',3,0.641317,1,1
3542,'2017/03/22 18:36:24:904',3,0.641317,1,1
3543,'2017/03/22 18:36:25:066',3,0.641317,1,1
3544,'2017/03/22 18:36:25:067',3,0.641317,1,1
3545,'2017/03/22 18:36:25:119',3,0.641317,1,1
3546,'2017/03/22 18:36:25:119',3,0.641317,1,1
3547,'2017/03/22 18:36:25:203',3,0.641317,1,1
3548,'2017/03/22 18:36:25:204',3,0.641317,1,1
3549,'2017/03/22 18:36:25:338',3,0.641317,1,1
3550,'2017/03/22 18:36:25:338',3,0.641317,1,1
3551,'2017/03/22 18:36:25:419',3,0.641317,1,1
3552,'2017/03/22 18:36:25:419',3,0.641317,1,1
3553,'2017/03/22 18:36:25:584',3,0.641317,1,1
3554,'2017/03/22 18:36:25:584',3,0.641317,1,1
3555,'2017/03/22 18:36:25:635',3,0.641317,1,1
3556,'2017/03/22 18:36:25:636',3,0.641317,1,1
3557,'2017/03/22 18:36:25:718',3,0.641317,1,1
3558,'2017/03/22 18:36:25:718',3,0.641317,0.989596,1
3559,'2017/03/22 18:36:25:888',3,0.641317,0.989596,1
3560,'2017/03/22 18:36:25:888',3,0.641317,0.978409,1
3561,'2017/03/22 18:36:25:934',3,0.641317,0.978409,1
3562,'2017/03/22 18:36:25:934',3,0.641317,0.966961,1
3563,'2017/03/22 18:36:26:002',3,0.641317,0.966961,1
3564,'2017/03/22 18:36:26:002',3,0.641317,0.955338,1
3565,'2017/03/22 18:36:26:197',3,0.641317,0.955338,1
3566,'2017/03/22 18:36:26:197',3,0.641317,0.944027,1
3567,'2017/03/22 18:36:26:220',3,0.641317,0.944027,1
3568,'2017/03/22 18:36:26:221',3,0.641317,0.932717,1
3569,'2017/03/22 18:36:26:302',3,0.641317,0.932717,1
3570,'2017/03/22 18:36:26:302',3,0.641317,0.921666,1
3571,'2017/03/22 18:36:26:478',3,0.641317,0.921666,1
3572,'2017/03/22 18:36:26:478',3,0.641317,0.910654,1
3573,'2017/03/22 18:36:26:517',3,0.641317,0.910654,1
3574,'2017/03/22 18:36:26:517',3,0.641317,0.899523,1
3575,'2017/03/22 18:36:26:652',3,0.630951,0.899523,1
3576,'2017/03/22 18:36:26:652',3,0.630951,0.887841,1
3577,'2017/03/22 18:36:26:779',3,0.620189,0.887841,1
3578,'2017/03/22 18:36:26:779',3,0.620189,0.875275,1
3579,'2017/03/22 18:36:26:804',3,0.609163,0.875275,1
3580,'2017/03/22 18:36:26:805',3,0.609163,0.862258,1
3581,'2017/03/22 18:36:26:948',3,0.597884,0.862258,1
3582,'2017/03/22 18:36:26:948',3,0.597884,0.849157,1
3583,'2017/03/22 18:36:27:030',3,0.586352,0.849157,1
3584,'2017/03/22 18:36:27:031',3,0.586352,0.836155,1
3585,'2017/03/22 18:36:27:098',3,0.574657,0.836155,1
3586,'2017/03/22 18:36:27:098',3,0.574657,0.822914,1
3587,'2017/03/22 18:36:27:247',3,0.562836,0.822914,1
3588,'2017/03/22 18:36:27:247',3,0.562836,0.809693,1
3589,'2017/03/22 18:36:27:321',3,0.550933,0.809693,1
3590,'2017/03/22 18:36:27:321',3,0.550933,0.796254,1
3591,'2017/03/22 18:36:27:392',3,0.538811,0.796254,1
3592,'2017/03/22 18:36:27:393',3,0.538811,0.782774,1
3593,'2017/03/22 18:36:27:531',3,0.526167,0.782774,1
3594,'2017/03/22 18:36:27:531',3,0.526167,0.770011,1
3595,'2017/03/22 18:36:27:626',3,0.513247,0.770011,1
3596,'2017/03/22 18:36:27:626',3,0.513247,0.75844,1
3597,'2017/03/22 18:36:27:747',3,0.50015,0.75844,1
3598,'2017/03/22 18:36:27:747',3,0.50015,0.747657,1
3599,'2017/03/22 18:36:27:829',3,0.487126,0.747657,1
3600,'2017/03/22 18:36:27:829',3,0.487126,0.73725,1
3601,'2017/03/22 18:36:27:895',3,0.474522,0.73725,1
3602,'2017/03/22 18:36:27:895',3,0.474522,0.726806,1
3603,'2017/03/22 18:36:28:045',3,0.462461,0.726806,1
3604,'2017/03/22 18:36:28:046',3,0.462461,0.715982,1
3605,'2017/03/22 18:36:28:128',3,0.451036,0.715982,1
3606,'2017/03/22 18:36:28:128',3,0.451036,0.70488,1
